Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos
daveparedesm,"Costa Rica , hoy reportó 347 casos de #COVID19: -incremento de 17 nuevos casos - 2 fallecidos -tasa de contagio vs. Nro de pruebas hechas se incrementa en 9.8% -Alajuela es la zona (cantón) con más infectados (70 casos) #CostaRica #Coronavirus #Covid_19",Tue Mar 31 23:20:15 +0000 2020,2,1
LucyRod72,#WorldMap #Coronavirus #PandemiaMundial ##Mexico #UnitedStates #Panama #CostaRica #Italie #España,Tue Mar 31 22:50:41 +0000 2020,0,2
SuumConsulting,"Es importante reducir la tendencia, es responsabilidad de todos #QuedateEnCasa #CostaRica #coronavirus #covid19 #Datavisualization #suumconsulting",Tue Mar 31 22:49:09 +0000 2020,2,2
AriadnaCoto,#CoronaVirus explicado a la #tica: para ver si acaso #aplanamos la #curva. Música de Cimarrona La Original. Voz: Wil. #COVIDー19 #SARSCoV2 #coronaviruscr #JuntosNosCuidamos #EmergenciaSanitaria #31marzo #QuedateEnCasaYa #COVID19 #CostaRica ,Tue Mar 31 22:03:20 +0000 2020,0,0
YairNoaj,#Medico #hondureno se queja d proceder d gobierno #Coronavirus #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Haití #Honduras #México #Nicaragua #Paraguay #Panamá #Perú #PuertoRico #EEUU #RepúblicaDominicana #Uruguay #Venezuela,Tue Mar 31 21:58:43 +0000 2020,1,2
Marlenetica,Vamos #Costarica fuerza sigamos luchando contra el #Coronavirus debemos estar en casa #QuedateEnCasa,Tue Mar 31 21:33:03 +0000 2020,0,2
covid19espa,#ÚLTIMAHORA: #CostaRica informa de otros 17 casos de #coronavirus elevado el total de contagios a 347 en todo el país. Así mismo la nación cuenta con 2 fallecidos. #Covid19espa #COVID2019,Tue Mar 31 20:52:14 +0000 2020,0,1
MundosOcultosNF,#CostaRica informa de otros 17 casos de #coronavirus elevado el total de contagios a 347 en todo el país. Así mismo la nación cuenta con 2 fallecidos. ,Tue Mar 31 20:31:06 +0000 2020,3,9
Amilcaratb,Información Actualizada Latinoamérica 31/03/2020 21:00h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Nicaragua,Tue Mar 31 19:47:33 +0000 2020,0,0
radio580nic,"Autoridades de #CostaRica confirma que la cifra de casos positivos por #Covid-19, se eleva a 347. Mientras que 4 personas se han recuperado del #Coronavirus. Se mantiene en 2 los fallecidos por esa causa. ",Tue Mar 31 19:14:25 +0000 2020,0,0
PUSCenExterior,Lamentamos mucho conocer esta noticia. A la familia y amigos de Silvia nuestro más sentido pésame. #CostaRica #ticos #ticosenelextranjero #coronavirus #salud #COVID19 #QuédateEnLaCasa,Tue Mar 31 18:44:25 +0000 2020,0,0
kar_ba,No se si seremos el único país con este tipo de noticias en medio del #coronavirus #costarica #cuarentena,Tue Mar 31 18:34:23 +0000 2020,0,0
ExpatExchange,Will expats in Costa Rica lose their residency if they leave the country? A Shocking Statement from the country's Ministry for Public Security has expats talking: https://bit.ly/2ya9XWr @usembassysjo @usambassadorcr #expat #costarica #coronavirus #michaelsoto,Tue Mar 31 18:02:02 +0000 2020,0,0
JHLAWYER,Imaginemos por un momento que el gobierno nos impuso estas normas desde el 1 ero de Marzo de 2020. No hubiese sido necesario el #QuédateenCasa que muy pocos acataron. ¿Donde estaríamos hoy ? #COVIDー19 #Coronavirus #CostaRica ,Tue Mar 31 17:07:45 +0000 2020,0,1
NoticiasONU,Muchos jóvenes piensan que el #COVID19 no les afecta y no siguen recomendaciones para evitar el contagio. Más de 50 músicos en #CostaRica se están uniendo a la ONU para educarles sobre el #coronavirus con conciertos para pasar la cuarentena. ,Tue Mar 31 15:53:26 +0000 2020,31,91
FocusGamingNews,Government steps in to assist lottery vendors amid the on-going Coronavirus crisis. #CostaRica #Lottery #Coronavirus ,Tue Mar 31 15:30:00 +0000 2020,0,0
BiggieNews," Niña de 12 años con coronavirus falleció, la mas joven de Europa Clic aquí https://bit.ly/2w1xSqg #USA #Espana #QuedateEnCasa #BelgiumLockdown #Belgica #Coronavirus #ElSalvador #Honduras #Nicaragua #costarica #Panama #Colombia #LoUltimo #COVID2019 #Covid_19",Tue Mar 31 15:21:11 +0000 2020,1,0
ricardo93393160,Estoy fuerte todavía. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant #agenciadeviajes #Travel,Tue Mar 31 15:19:46 +0000 2020,0,0
ricardo93393160,No hay un propósito... relájate y vive. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant,Tue Mar 31 15:13:10 +0000 2020,0,0
ricardo93393160,31/marzo 2009...31/marzo 2020 a 11 años de su desaparición. nos regalo la Democracia. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant,Tue Mar 31 14:49:18 +0000 2020,0,0
ricardo93393160,Un kapo.... #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant #agenciadeviajes #travel,Tue Mar 31 14:39:33 +0000 2020,0,0
TheCRNews,Health Minister Daniel Salas reported on Monday that the number of confirmed cases of the COVID-19 coronavirus in the country totaled 330.. Follow @TheCRNews Hashtag #TCRN #tcrn #pandemic #covid19 #coronavirus #health #costarica #optimism #quarantine #goodvibe,Tue Mar 31 13:57:13 +0000 2020,1,2
RutaDeLuz,#RecesoAlCoronavirus #Cuarentena #Coronavirus/ #España #Belice #México #PuertoRico #Guatemala #CostaRica #Honduras #Panamá #Ecuador #Perú #Chile #Argentina #Bolivia #Nicaragua #Uruguay #Paraguay #Colombia #Dominicana #Brasil #ElSalvador #QuedateEnCasa #Hoy,Tue Mar 31 13:39:34 +0000 2020,3,2
ricardo93393160,Que? usaste jabón blanco hoy? #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant #agenciadeviajes #travel,Tue Mar 31 13:10:55 +0000 2020,1,0
SuhCR1,#CostaRica #QuedateEnCasa #COVID19 #coronavirus #clasesonline #clasesvirtuales #ClasesDeGuitarraSuh #sanjosé #Heredia,Tue Mar 31 11:55:18 +0000 2020,0,0
dayanabenavides,#coronavirus 4 pacientes recuperados #CostaRica #QuedateEnCasa,Tue Mar 31 11:47:37 +0000 2020,0,0
chrisdaviscng,"here, #Bogota, we have been in quarantine for a week, you can’t go out meanwhile, #CostaRica, try surfing, get shot at https://www.instagram.com/p/B-THoy1Hwd_/ #covid19 #coronavirus #stayhome",Tue Mar 31 09:51:33 +0000 2020,1,0
Sport24ur,"Policist v #CostaRica streljal na bežečega deskarja, ki ni spoštoval karantene. Gre za nekdanjega olimpijca, ki se brani, da je zbežal zato, ker se je ustrašil pištole -&gt; https://bit.ly/2JnZXv0 #deskanje #surfing #Kostarika #karantena #covid19 #covid-19 #koronavirus #coronavirus",Tue Mar 31 08:15:53 +0000 2020,0,0
fromAlias,quando potrò andare di nuovo in vacanza? #borsa #costarica #coronavirus ,Tue Mar 31 08:15:02 +0000 2020,0,0
PalasTati,#puravida #costarica #porfavor #nopanico #periodista #coronavirus #PandemiaMundial,Tue Mar 31 07:32:25 +0000 2020,0,0
AnnaMietta,"Beh #Grillo potrebbe partecipare con i #soldi che ha in #Costarica dove ha anche #società di #lusso, se non ricordo male 15, intestate al suo #autista #coronavirus",Tue Mar 31 06:42:54 +0000 2020,0,0
ricardo93393160,Me estoy aguantando. Tengo ganas de que sea domingo llevarte el desayuno a la cama y verte disfrutar las masa dulces que te gustan. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios,Tue Mar 31 05:07:12 +0000 2020,0,0
mariamalia2010,#CostaRica #QuedateEnCasa #COVIDー19 #coronavirus ,Tue Mar 31 04:34:58 +0000 2020,1,0
ricardo93393160,"Quiero tenerte conmigo. Darte de comer, reírnos, bañarte, secarte, peinarte, arroparte, acariciarte y mañana despertar a tu lado. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios",Tue Mar 31 04:18:18 +0000 2020,0,0
nikkipava,May #costarica 's Ministry of Health follow the steps of the #czechrepublic 's and advise everyone to wear masks. This country is not acting fast enough to stop the spread. Shelter-in-place would be the most effective path for this country. #Masks4All #coronavirus,Tue Mar 31 03:49:51 +0000 2020,0,0
ricardo93393160,#coronavirus #argentina #chile #uruguay #paraguay #bolivia #costarica #puertorico #nicaragua #panama #peru #mexico #eeuu #cordoba #entrerios #corrientes #misiones #hoteles #restaurant #agenciadeviajes #travel,Tue Mar 31 03:43:31 +0000 2020,2,2
ricardo93393160,"Todavía no se por que me cuido del coronavirus, si cuando entres en mi cama se me va ir la vida. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #ecuador #honduras #costarica #puertorico #nicaragua #panama #peru #elsalvador #mexico #eeuu #cordoba #entrerios",Tue Mar 31 02:32:48 +0000 2020,0,0
ricardo93393160,"Después de esto, el reencuentro seria como una reconciliación... me vana temblar las patas por dos semanas. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #ecuador #honduras #costarica #puertorico #nicaragua #panama #peru #elsalvador #mexico #eeuu #cordoba #entrerios",Tue Mar 31 02:28:39 +0000 2020,1,0
ricardo93393160,"Debo reconocer que Alberto Fernandez es milagroso. Gracias a el volví a caminar...Vendí mi auto, a alguien más le hizo un milagro le mandamos una carta al PAPA para que lo canonicen. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #ecuador #honduras #costarica",Tue Mar 31 02:21:15 +0000 2020,0,1
ricardo93393160,A A A AAA CHISSSS alberto. #coronavirus #argentina #chile #uruguay #paraguay #bolivia #ecuador #honduras #costarica #puertorico #nicaragua #panama #peru #elsalvador #mexico #eeuu #cordoba #entrerios,Tue Mar 31 02:15:46 +0000 2020,2,0
superstereo981,#CostaRica reportó hasta el lunes 330 contagiados con #COVID19. El ministro de salud ve inviable que se declare toque de queda en este país para evitar que la gente salga a la calle y reducir el número de infectados por #coronavirus Vía @VOANoticias,Tue Mar 31 01:39:27 +0000 2020,0,0
H2OStewards,"Quédate en casa y si sales, sigue estos consejos al volver . . . #covid_19 #coronavirus #healthy #costarica #water #waterresistant",Tue Mar 31 00:19:44 +0000 2020,1,1
tribunapr,Confusão! https://bit.ly/2UOz3BW #campeão #surf #tiros #praia #pandemia #CostaRica #Coronavírus #Covid19 #quarentena #TribunaDoParaná #TamoJunto,Mon Mar 30 23:15:06 +0000 2020,0,1
MundosOcultosNF,#CostaRica informó hoy de otros 16 casos de #coronavirus elevando a 330 los contagios en todo el país. Actualmente hay 2 fallecidos en la nación por este patógeno. ,Mon Mar 30 22:27:14 +0000 2020,5,13
fedealomso,"La única forma para poder distribuir la plata del subsidio por #coronavirus, que posiblemente dé el gobierno de #CostaRica a los hogares más necesitados, es usando las bases de datos por las que hace un mes atrás pedían a gritos la renuncia del presidente @CarlosAlvQ.",Mon Mar 30 22:06:33 +0000 2020,0,1
Amilcaratb,Información Actualizada Latinoamérica 30/03/2020 23:00h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Mon Mar 30 21:47:36 +0000 2020,3,2
TeLoCuentoNews,#30Mar El último reporte del Ministerio de Salud de #CostaRica indica que han confirmado 330 casos de #coronavirus. Registran dos defunciones. ,Mon Mar 30 20:40:38 +0000 2020,1,0
SuumConsulting,COVID-19 Overview Costa Rica al 30/03/20 #QuedateEnCasa #CostaRica #coronavirus #covid19 #Datavisualization #suumconsulting,Mon Mar 30 20:03:26 +0000 2020,1,2
Noticias_crc,"Hoy se reportan 330 contagiados por #coronavirus en #CostaRica. Alajuela es el cantón que más contagiados tiene, le sigue el cantón de San José. ",Mon Mar 30 19:31:37 +0000 2020,1,1
JaviQuirosV,Y sí. Ya a partir de hoy en Mi Querida #COSTARICA y desde el gobierno politizaron el tema. #Coronavirus #Covid19,Mon Mar 30 19:30:02 +0000 2020,0,1
maurifons,¿Será que alguien le puede decir a la señora que ya es suficiente? #costarica #Coronavirus #COVID19,Mon Mar 30 19:08:09 +0000 2020,0,1
SeriousBiggg,La #policía de Costa Rica dispara al #surfista olímpico Rafael Villavicencio por saltarse el confinamiento. #CoronavirusCostaRica #CostaRica #RafaelVillavicencio #Coronavirus #COVIDー19 #Covid_19 #EstadoDeAlarma,Mon Mar 30 18:58:11 +0000 2020,0,3
Amilcaratb,Información Actualizada Latinoamérica 30/03/2020 19:30h #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Honduras,Mon Mar 30 18:37:35 +0000 2020,6,3
