tweet_id,usuario_id
45,2514
124,2514
125,2514
126,2514
137,2514
139,2514
214,2514
270,2514
275,2514
365,2514
384,2514
387,2514
389,2514
520,2514
521,2514
525,2514
644,2514
645,2514
646,2514
723,2514
761,2514
763,2514
766,2514
786,2514
839,2514
852,2514
868,2514
870,2514
873,2514
936,2514
964,2514
975,2514
991,2514
1060,2514
1078,2514
1159,2514
1269,2514
1424,2514
1426,2514
1427,2514
1480,2514
1504,2514
1507,2514
1508,2514
1576,2514
1591,2514
1626,2514
1627,2514
1628,2514
1721,2514
1729,2514
1742,2514
1750,2514
1751,2514
1862,2514
1863,2514
2007,2514
2024,2514
2028,2514
2089,2514
2137,2514
2143,2514
2149,2514
2250,2514
2253,2514
2390,2514
2409,2514
2519,2514
2538,2514
2539,2514
2550,2514
2560,2514
2609,2514
2617,2514
2691,2514
2811,2514
2887,2514
2888,2514
3014,2514
3089,2514
3107,2514
3110,2514
3111,2514
3127,2514
3219,2514
3241,2514
3265,2514
3266,2514
3290,2514
3323,2514
3331,2514
3333,2514
3338,2514
3362,2514
3401,2514
3479,2514
3480,2514
3490,2514
3516,2514
3539,2514
3543,2514
3559,2514
3626,2514
3631,2514
3685,2514
3687,2514
3712,2514
3769,2514
3806,2514
3809,2514
3875,2514
3896,2514
3909,2514
3916,2514
3927,2514
4060,2514
4061,2514
4191,2514
4218,2514
4224,2514
4473,2514
4797,2514
4883,2514
4975,2514
5098,2514
5157,2514
5303,2514
5311,2514
5322,2514
5389,2514
5591,2514
5592,2514
5624,2514
5920,2514
5939,2514
5946,2514
6029,2514
6064,2514
6102,2514
6132,2514
6149,2514
6185,2514
6206,2514
6338,2514
6345,2514
6456,2514
6482,2514
6582,2514
6604,2514
6634,2514
6722,2514
6780,2514
6785,2514
6854,2514
6889,2514
6899,2514
6935,2514
6951,2514
7101,2514
7115,2514
7144,2514
7153,2514
7198,2514
7254,2514
7327,2514
7333,2514
7355,2514
7546,2514
7562,2514
7732,2514
7849,2514
8068,2514
8141,2514
8274,2514
8281,2514
8284,2514
8479,2514
8710,2514
8749,2514
8773,2514
8847,2514
8900,2514
8935,2514
10318,2514
10991,2514
11049,2514
11266,2514
